PlotNumber,DTFFF,NUMPLTSPLOT_H,SEEDWT,PODWGTPLOT,SEEDWTPLOT_H,NUMSEEDPLOT_H,Year
123,37,15,16.3,1605,1348.5,8273,2024
124,42,15,17.1,1056.6,887.1,5188,2024
125,35,18,10.3,1322.4,1071.5,10403,2024
126,42,17,15.9,1959.6,1573.9,9899,2024
127,38,17,16.4,912.8,751,4579,2024
128,37,16,15.4,1201.8,899.9,5843,2024
129,41,17,15.7,976,781.3,4976,2024
130,41,18,16.5,2399.6,1723.2,10444,2024
131,37,16,17.9,1033.4,862.6,4819,2024
132,37,17,8.7,1386.8,1063.6,12225,2024
133,,,0,,0,,2024
134,46,15,10.8,2223.8,1780,16481,2024
135,39,17,17.3,1365.2,1189.4,6875,2024
136,46,17,13.8,1674.8,1292.2,9364,2024
137,41,16,16.8,2564.4,2064.3,12288,2024
138,41,15,15.8,1216.2,975.9,6177,2024
139,,,0,,0,,2024
140,41,15,12.8,1576.2,1252.3,9784,2024
141,46,8,18.3,1214.6,958.6,5238,2024
142,42,18,12.7,1594.4,1273.5,10028,2024
143,42,17,16.3,1899,1466,8994,2024
144,46,17,10,1160.8,923.1,9231,2024
145,,,0,,0,,2024
146,46,18,16.6,2026.8,1643.2,9899,2024
147,41,16,18.1,1176,895.9,4950,2024
148,46,5,15.8,867.8,705,4462,2024
149,44,13,9.9,1358.6,1139.3,11508,2024
150,49,17,13.8,2069.1,1789.5,12968,2024
